provider_id,measurement_month,rvu_score,capacity_utilization_pct,open_appointment_slots,patient_satisfaction_score,no_show_rate
PRV-1024,2026-02,5.26,80.4,20,3.34,0.058
PRV-1024,2026-01,5.25,45.6,27,4.97,0.152
PRV-1024,2025-12,2.3,67.2,6,3.78,0.104
PRV-1025,2026-05,2.56,54.0,6,4.72,0.155
PRV-1025,2026-04,4.11,78.7,17,4.61,0.178
PRV-1025,2026-03,5.21,71.4,17,3.41,0.123
PRV-1025,2026-02,4.48,72.7,12,4.94,0.169
PRV-1025,2026-01,2.49,92.0,18,3.22,0.066
PRV-1025,2025-12,4.09,48.8,22,4.95,0.181
PRV-1026,2026-05,4.59,52.3,23,4.24,0.077
PRV-1026,2026-04,3.76,62.8,18,4.13,0.185
PRV-1026,2026-03,4.57,71.5,22,3.21,0.047
PRV-1026,2026-02,4.85,53.6,24,4.39,0.174
PRV-1026,2026-01,3.72,63.9,15,3.42,0.135
PRV-1026,2025-12,2.6,53.7,2,3.92,0.116
PRV-1027,2026-05,2.99,79.5,24,4.73,0.117
PRV-1027,2026-04,2.63,41.1,20,4.06,0.156
PRV-1027,2026-03,4.46,81.1,25,4.67,0.037
PRV-1027,2026-02,2.16,71.0,17,4.72,0.196
PRV-1027,2026-01,4.1,59.8,19,4.18,0.094
PRV-1027,2025-12,3.55,96.8,19,3.25,0.089
PRV-1028,2026-05,5.35,88.2,7,4.73,0.072
PRV-1028,2026-04,4.94,42.0,29,4.8,0.171
PRV-1028,2026-03,4.01,72.8,15,3.92,0.063
PRV-1028,2026-02,5.41,64.4,8,4.9,0.121
PRV-1028,2026-01,4.25,66.9,20,4.09,0.124
PRV-1028,2025-12,3.3,80.1,13,3.11,0.123
PRV-1029,2026-05,5.03,66.7,19,3.09,0.149
PRV-1029,2026-04,2.94,93.6,21,3.74,0.15
PRV-1029,2026-03,5.12,63.8,0,4.6,0.098
PRV-1029,2026-02,2.89,71.7,8,4.64,0.195
PRV-1029,2026-01,4.64,98.6,11,3.82,0.151
PRV-1029,2025-12,4.7,93.2,22,4.42,0.126
PRV-1030,2026-05,5.41,89.1,29,4.0,0.134
PRV-1030,2026-04,2.68,78.6,17,4.17,0.084
PRV-1030,2026-03,4.77,81.9,27,3.64,0.102
PRV-1030,2026-02,3.32,55.8,3,3.05,0.057
PRV-1030,2026-01,3.74,72.5,7,4.45,0.089
PRV-1030,2025-12,4.06,41.1,10,4.75,0.129
PRV-1031,2026-05,5.34,72.7,27,3.52,0.076
PRV-1031,2026-04,2.41,56.6,24,4.59,0.062
PRV-1031,2026-03,3.53,65.5,18,4.43,0.125
PRV-1031,2026-02,3.5,87.4,4,4.72,0.07
PRV-1031,2026-01,4.15,64.6,25,4.37,0.128
PRV-1031,2025-12,3.95,95.0,28,4.3,0.169
PRV-1032,2026-05,3.13,41.1,7,4.04,0.034
PRV-1032,2026-04,3.08,82.0,28,3.76,0.175
PRV-1032,2026-03,2.84,55.1,1,3.59,0.03
PRV-1032,2026-02,2.33,47.3,21,4.12,0.028
PRV-1032,2026-01,4.67,96.0,12,4.18,0.068
PRV-1032,2025-12,3.45,91.2,9,4.61,0.139
PRV-1033,2026-05,2.64,72.6,9,3.75,0.107
PRV-1033,2026-04,4.49,86.2,9,4.96,0.196
PRV-1033,2026-03,5.19,52.2,28,4.71,0.199
PRV-1033,2026-02,5.19,43.0,8,3.38,0.085
PRV-1033,2026-01,3.17,75.3,10,3.54,0.081
PRV-1033,2025-12,3.99,60.1,20,4.97,0.124
PRV-1034,2026-05,3.35,83.2,18,4.4,0.044
PRV-1034,2026-04,2.93,73.3,21,4.21,0.145
PRV-1034,2026-03,2.45,90.4,6,4.82,0.19
PRV-1034,2026-02,2.92,64.0,13,3.52,0.15
PRV-1034,2026-01,4.41,59.0,22,4.51,0.056
PRV-1034,2025-12,2.64,74.2,3,4.64,0.028
PRV-1035,2026-05,3.22,60.9,24,4.88,0.083
PRV-1035,2026-04,4.92,75.7,28,3.69,0.054
PRV-1035,2026-03,2.6,71.8,29,3.19,0.149
PRV-1035,2026-02,3.23,46.7,10,3.42,0.086
PRV-1035,2026-01,2.66,42.5,17,3.59,0.163
PRV-1035,2025-12,3.66,79.1,14,3.55,0.134
PRV-1036,2026-05,4.02,50.5,12,4.82,0.13
PRV-1036,2026-04,2.22,44.6,16,3.16,0.046
PRV-1036,2026-03,4.47,50.3,22,4.14,0.129
PRV-1036,2026-02,3.73,43.6,5,4.93,0.155
PRV-1036,2026-01,2.25,86.6,24,3.66,0.095
PRV-1036,2025-12,4.91,77.3,6,3.91,0.065
PRV-1037,2026-05,2.61,64.6,14,4.05,0.192
PRV-1037,2026-04,2.61,73.9,20,3.89,0.033
PRV-1037,2026-03,2.63,55.5,10,4.51,0.082
PRV-1037,2026-02,5.24,54.3,23,4.48,0.048
PRV-1037,2026-01,4.11,40.6,15,4.06,0.092
PRV-1037,2025-12,4.03,53.7,30,3.46,0.041
PRV-1038,2026-05,4.53,87.8,2,4.5,0.072
PRV-1038,2026-04,5.29,83.1,27,4.08,0.137
PRV-1038,2026-03,2.91,95.7,3,3.64,0.11
PRV-1038,2026-02,5.11,85.1,26,4.81,0.069
PRV-1038,2026-01,2.18,65.9,23,3.29,0.167
PRV-1038,2025-12,2.32,70.3,8,4.78,0.071
PRV-1039,2026-05,5.42,54.9,15,4.8,0.061
PRV-1039,2026-04,3.85,42.9,1,4.38,0.065
PRV-1039,2026-03,4.59,47.5,2,3.47,0.194
PRV-1039,2026-02,3.63,74.9,12,4.8,0.118
PRV-1039,2026-01,3.78,46.4,19,3.2,0.165
PRV-1039,2025-12,2.39,45.7,30,4.49,0.155
PRV-1040,2026-05,3.12,66.0,12,4.62,0.182
PRV-1040,2026-04,4.29,59.9,15,3.37,0.148
PRV-1040,2026-03,2.36,76.3,1,4.28,0.095
PRV-1040,2026-02,2.38,95.9,19,3.58,0.113
PRV-1040,2026-01,2.51,49.2,15,3.92,0.065
PRV-1040,2025-12,4.55,89.0,18,4.15,0.182
PRV-1041,2026-05,3.19,61.7,4,3.9,0.177
PRV-1041,2026-04,2.42,64.3,27,3.97,0.191
PRV-1041,2026-03,4.56,92.0,5,3.16,0.149
PRV-1041,2026-02,2.24,80.5,21,4.91,0.08
PRV-1041,2026-01,5.17,45.6,29,3.45,0.033
PRV-1041,2025-12,2.78,45.7,26,4.51,0.055
PRV-1042,2026-05,3.97,90.9,24,4.18,0.02
PRV-1042,2026-04,5.19,85.7,29,3.75,0.107
PRV-1042,2026-03,4.78,54.0,25,3.81,0.153
PRV-1042,2026-02,5.02,83.8,21,3.97,0.032
PRV-1042,2026-01,4.55,98.8,12,4.89,0.2
PRV-1042,2025-12,4.12,67.0,2,4.96,0.188
PRV-1043,2026-05,2.12,73.7,24,3.52,0.1
PRV-1043,2026-04,3.47,77.1,19,4.43,0.039
PRV-1043,2026-03,5.44,89.7,16,3.45,0.075
PRV-1043,2026-02,4.35,58.7,7,4.0,0.154
PRV-1043,2026-01,4.32,91.1,6,4.87,0.199
PRV-1043,2025-12,3.63,48.6,1,3.08,0.104
PRV-1044,2026-05,2.38,93.1,12,4.84,0.164
PRV-1044,2026-04,3.44,40.4,10,3.57,0.142
PRV-1044,2026-03,3.79,49.4,30,4.65,0.053
PRV-1044,2026-02,2.06,81.1,14,4.4,0.179
PRV-1044,2026-01,4.71,87.3,9,4.06,0.122
PRV-1044,2025-12,4.89,81.5,1,4.53,0.138
PRV-1045,2026-05,3.86,84.0,27,3.5,0.106
PRV-1045,2026-04,2.63,42.3,10,3.57,0.176
PRV-1045,2026-03,5.38,46.1,9,3.35,0.125
PRV-1045,2026-02,3.44,75.1,17,3.69,0.134
PRV-1045,2026-01,5.43,91.8,6,4.08,0.165
PRV-1045,2025-12,2.94,53.8,3,4.74,0.06
PRV-1046,2026-05,4.16,57.2,11,4.99,0.07
PRV-1046,2026-04,3.51,45.6,23,4.58,0.131
PRV-1046,2026-03,2.92,47.3,17,4.22,0.142
PRV-1046,2026-02,4.85,41.3,11,3.42,0.142
PRV-1046,2026-01,3.77,92.3,15,3.27,0.094
PRV-1046,2025-12,2.42,72.9,10,3.91,0.141
PRV-1047,2026-05,4.76,75.5,10,3.19,0.199
PRV-1047,2026-04,3.03,45.2,29,4.35,0.131
PRV-1047,2026-03,5.06,87.1,6,4.99,0.138
PRV-1047,2026-02,4.07,50.7,20,4.54,0.074
PRV-1047,2026-01,4.92,46.7,5,4.65,0.051
PRV-1047,2025-12,4.54,40.7,21,4.88,0.169
PRV-1048,2026-05,4.97,55.3,5,3.48,0.135
PRV-1048,2026-04,2.43,73.2,30,3.06,0.11
PRV-1048,2026-03,2.26,88.9,10,4.93,0.141
PRV-1048,2026-02,4.57,91.7,4,3.03,0.127
PRV-1048,2026-01,4.57,50.7,12,3.1,0.17
PRV-1048,2025-12,2.64,65.6,26,3.31,0.065
PRV-1049,2026-05,5.21,84.3,12,3.24,0.117
PRV-1049,2026-04,2.82,99.8,6,3.23,0.064
PRV-1049,2026-03,2.17,73.7,1,4.79,0.152
PRV-1049,2026-02,4.66,99.7,17,3.21,0.142
PRV-1049,2026-01,4.34,62.5,7,4.08,0.143
PRV-1049,2025-12,3.34,78.7,19,3.2,0.169
PRV-1050,2026-05,5.4,89.6,13,3.23,0.038
PRV-1050,2026-04,3.13,63.2,9,3.99,0.047
PRV-1050,2026-03,4.45,81.6,21,4.93,0.144
PRV-1050,2026-02,5.1,76.4,1,5.0,0.113
PRV-1050,2026-01,2.3,86.5,16,3.68,0.161
PRV-1050,2025-12,4.26,41.9,6,3.15,0.12
PRV-1051,2026-05,3.54,66.8,3,3.77,0.179
PRV-1051,2026-04,4.04,69.8,11,4.65,0.088
PRV-1051,2026-03,3.04,41.3,29,3.04,0.071
PRV-1051,2026-02,5.16,55.9,30,4.01,0.075
PRV-1051,2026-01,3.87,79.1,8,4.28,0.061
PRV-1051,2025-12,3.99,71.0,26,3.92,0.167
PRV-1052,2026-05,2.73,73.9,13,4.6,0.053
PRV-1052,2026-04,3.57,44.5,25,4.42,0.087
PRV-1052,2026-03,5.41,68.6,7,4.29,0.085
PRV-1052,2026-02,4.33,84.0,3,3.63,0.135
PRV-1052,2026-01,2.33,42.1,4,4.68,0.075
PRV-1052,2025-12,3.49,63.5,19,4.14,0.124
PRV-1053,2026-05,4.15,59.2,4,4.03,0.087
PRV-1053,2026-04,2.92,56.8,16,4.46,0.151
PRV-1053,2026-03,4.91,76.7,22,4.82,0.159
PRV-1053,2026-02,2.4,87.1,25,4.24,0.125
PRV-1053,2026-01,3.1,48.2,19,3.38,0.08
PRV-1053,2025-12,5.24,82.4,21,3.03,0.138
PRV-1054,2026-05,2.77,77.6,25,4.78,0.184
PRV-1054,2026-04,3.79,60.9,15,4.64,0.196
PRV-1054,2026-03,5.09,54.6,20,3.27,0.135
PRV-1054,2026-02,2.73,73.5,29,3.6,0.032
PRV-1054,2026-01,3.82,73.0,25,3.22,0.102
PRV-1054,2025-12,4.55,48.0,30,3.26,0.096
PRV-1055,2026-05,5.35,95.9,24,3.06,0.028
PRV-1055,2026-04,4.47,43.4,23,3.43,0.11
PRV-1055,2026-03,4.47,73.0,2,3.16,0.188
PRV-1055,2026-02,5.15,61.6,7,4.62,0.155
PRV-1055,2026-01,2.74,80.4,8,3.85,0.124
PRV-1055,2025-12,4.09,47.6,15,4.94,0.197
PRV-1056,2026-05,3.85,89.1,5,3.08,0.054
PRV-1056,2026-04,2.84,55.9,7,3.04,0.047
PRV-1056,2026-03,2.85,42.4,21,3.44,0.086
PRV-1056,2026-02,4.27,48.6,22,3.88,0.059
PRV-1056,2026-01,3.56,88.0,16,4.14,0.191
PRV-1056,2025-12,2.45,83.6,24,4.7,0.072
PRV-1057,2026-05,5.25,69.2,0,3.92,0.144
PRV-1057,2026-04,5.28,56.6,4,4.33,0.182
PRV-1057,2026-03,2.11,56.5,9,3.54,0.139
PRV-1057,2026-02,5.42,45.1,27,4.84,0.156
PRV-1057,2026-01,4.69,74.2,20,3.68,0.183
PRV-1057,2025-12,4.91,79.6,5,4.08,0.032
PRV-1058,2026-05,5.02,85.5,6,4.69,0.176
PRV-1058,2026-04,5.09,89.6,16,4.7,0.032
PRV-1058,2026-03,3.35,85.1,10,4.62,0.179
PRV-1058,2026-02,4.17,50.4,1,4.06,0.026
PRV-1058,2026-01,3.06,53.8,10,4.23,0.08
PRV-1058,2025-12,2.46,53.8,13,4.62,0.05
PRV-1059,2026-05,3.7,43.3,1,4.48,0.123
PRV-1059,2026-04,3.07,68.5,20,3.91,0.175
PRV-1059,2026-03,3.25,71.9,14,4.91,0.104
PRV-1059,2026-02,4.78,85.8,21,3.08,0.088
PRV-1059,2026-01,4.04,60.7,14,3.51,0.038
PRV-1059,2025-12,3.42,72.7,2,4.02,0.196
